,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,start_year,tconst,original_title,runtime_minutes,genres,advertisement_budget,profit,genres_not_parsed_id,genres_Action_id,genres_Adventure_id,genres_Comedy_id,genres_Drama_id,genres_Family_id,genres_Thriller_id,genres_Documentary_id,genres_tuple,genres_num_of_parses,ROI,total_costs
3,7,"Apr 27, 2018",Avengers: Infinity War,300000000,678815482,2048134200,2018,tt4154756,Avengers: Infinity War,149.0,"Action,Adventure,Sci-Fi",300000000,1448134200,0,1,1,0,0,0,0,0,"(1, 1, 0, 0, 0, 0, 0)",2,241.35569999999998,600000000
23,34,"Jun 12, 2015",Jurassic World,215000000,652270625,1648854864,2015,tt0369610,Jurassic World,124.0,"Action,Adventure,Sci-Fi",215000000,1218854864,0,1,1,0,0,0,0,0,"(1, 1, 0, 0, 0, 0, 0)",2,283.4546195348837,430000000
46,67,"Apr 3, 2015",Furious 7,190000000,353007020,1518722794,2015,tt2820852,Furious Seven,137.0,"Action,Crime,Thriller",190000000,1138722794,0,1,0,0,0,0,1,0,"(1, 0, 0, 0, 0, 1, 0)",2,299.66389315789473,380000000
18,27,"May 4, 2012",The Avengers,225000000,623279547,1517935897,2012,tt0848228,The Avengers,143.0,"Action,Adventure,Sci-Fi",225000000,1067935897,0,1,1,0,0,0,0,0,"(1, 1, 0, 0, 0, 0, 0)",2,237.3190882222222,450000000
301,73,"Jul 10, 2015",Minions,74000000,336045770,1160336173,2015,tt2293640,Minions,91.0,"Adventure,Animation,Comedy",74000000,1012336173,0,0,1,1,0,0,0,0,"(0, 1, 1, 0, 0, 0, 0)",2,684.0109277027027,148000000
108,56,"Nov 22, 2013",Frozen,150000000,400738009,1272469910,2013,tt2294629,Frozen,102.0,"Adventure,Animation,Comedy",150000000,972469910,0,0,1,1,0,0,0,0,"(0, 1, 1, 0, 0, 0, 0)",2,324.15663666666666,300000000
77,13,"Jun 22, 2018",Jurassic World: Fallen Kingdom,170000000,417719760,1305772799,2018,tt4881806,Jurassic World: Fallen Kingdom,128.0,"Action,Adventure,Sci-Fi",170000000,965772799,0,1,1,0,0,0,0,0,"(1, 1, 0, 0, 0, 0, 0)",2,284.0508232352941,340000000
27,42,"Feb 16, 2018",Black Panther,200000000,700059566,1348258224,2018,tt1825683,Black Panther,134.0,"Action,Adventure,Sci-Fi",200000000,948258224,0,1,1,0,0,0,0,0,"(1, 1, 0, 0, 0, 0, 0)",2,237.06455599999998,400000000
95,35,"Mar 17, 2017",Beauty and the Beast,160000000,504014165,1259199706,2017,tt2771200,Beauty and the Beast,129.0,"Family,Fantasy,Musical",160000000,939199706,0,0,0,0,0,1,0,0,"(0, 0, 0, 0, 1, 0, 0)",1,293.499908125,320000000
293,30,"Jun 30, 2017",Despicable Me 3,75000000,264624300,1034727750,2017,tt3469046,Despicable Me 3,89.0,"Adventure,Animation,Comedy",75000000,884727750,0,0,1,1,0,0,0,0,"(0, 1, 1, 0, 0, 0, 0)",2,589.8185,150000000
28,44,"Jun 15, 2018",Incredibles 2,200000000,608581744,1242520711,2018,tt3606756,Incredibles 2,118.0,"Action,Adventure,Animation",200000000,842520711,0,1,1,0,0,0,0,0,"(1, 1, 0, 0, 0, 0, 0)",2,210.63017775,400000000
